,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty,S X1 Comdty
,open,high,low,close,volume,num_trds,value
2021-07-06 11:21:00-04:00,1322.25,1322.75,1317.75,1319.5,873,197,1152104.5
2021-07-06 11:22:00-04:00,1319.75,1320.75,1316.5,1319.75,1485,378,1958079.75
2021-07-06 11:23:00-04:00,1320.0,1321.75,1319.5,1319.75,415,122,548034.0
2021-07-06 11:24:00-04:00,1320.0,1320.25,1317.75,1318.5,486,103,641072.75
2021-07-06 11:25:00-04:00,1318.5,1318.75,1314.25,1316.5,1241,249,1633600.25
2021-07-06 11:26:00-04:00,1316.5,1317.25,1315.25,1316.5,295,102,388271.5
2021-07-06 11:27:00-04:00,1316.75,1317.25,1315.25,1315.75,245,75,322436.0
2021-07-06 11:28:00-04:00,1315.5,1317.0,1312.75,1317.0,548,181,720531.25
2021-07-06 11:29:00-04:00,1316.75,1317.5,1316.5,1316.5,162,46,213343.75
2021-07-06 11:30:00-04:00,1316.5,1316.75,1315.25,1316.5,164,92,215836.75
2021-07-06 11:31:00-04:00,1316.25,1316.25,1311.5,1311.5,586,154,769803.0
2021-07-06 11:32:00-04:00,1311.75,1312.0,1307.0,1308.25,1051,320,1376584.0
2021-07-06 11:33:00-04:00,1308.5,1311.25,1306.75,1311.25,545,196,713258.25
2021-07-06 11:34:00-04:00,1311.25,1313.0,1310.75,1311.75,407,107,533892.5
2021-07-06 11:35:00-04:00,1311.75,1312.25,1310.25,1310.75,152,64,199296.75
2021-07-06 11:36:00-04:00,1310.75,1310.75,1308.0,1310.0,487,163,637806.75
2021-07-06 11:37:00-04:00,1310.25,1311.25,1310.25,1311.0,107,48,140232.5
2021-07-06 11:38:00-04:00,1311.0,1312.25,1311.0,1311.5,121,37,158719.0
2021-07-06 11:39:00-04:00,1311.75,1313.0,1310.75,1310.75,125,53,164012.5
2021-07-06 11:40:00-04:00,1311.0,1311.25,1310.0,1310.25,188,74,246383.25
2021-07-06 11:41:00-04:00,1310.5,1310.5,1310.0,1310.0,249,67,326215.75
2021-07-06 11:42:00-04:00,1310.0,1312.0,1310.0,1311.0,163,55,213722.0
2021-07-06 11:43:00-04:00,1311.25,1312.5,1310.5,1311.0,159,58,208542.25
2021-07-06 11:44:00-04:00,1310.75,1311.25,1310.25,1310.5,116,51,152056.5
2021-07-06 11:45:00-04:00,1310.5,1310.75,1306.0,1306.75,625,274,817800.25
2021-07-06 11:46:00-04:00,1306.75,1306.75,1302.25,1304.25,1134,296,1478906.25
2021-07-06 11:47:00-04:00,1304.25,1306.5,1304.25,1306.0,297,93,387797.0
2021-07-06 11:48:00-04:00,1306.25,1306.75,1305.0,1305.5,290,98,378720.25
2021-07-06 11:49:00-04:00,1305.25,1307.25,1305.25,1306.75,253,63,330532.25
2021-07-06 11:50:00-04:00,1306.5,1307.0,1304.0,1304.75,342,118,446322.75
2021-07-06 11:51:00-04:00,1304.5,1305.25,1303.0,1303.5,319,108,415947.75
2021-07-06 11:52:00-04:00,1303.5,1303.5,1302.0,1302.0,302,134,393382.25
2021-07-06 11:53:00-04:00,1302.0,1303.25,1301.0,1302.75,425,166,553372.0
2021-07-06 11:54:00-04:00,1303.0,1303.25,1301.5,1302.25,242,115,315239.75
2021-07-06 11:55:00-04:00,1302.5,1305.0,1302.5,1304.5,149,68,194315.0
2021-07-06 11:56:00-04:00,1304.5,1304.75,1304.0,1304.25,107,35,139566.5
2021-07-06 11:57:00-04:00,1304.0,1305.25,1303.5,1304.75,163,77,212607.5
2021-07-06 11:58:00-04:00,1304.5,1304.5,1303.0,1303.0,108,41,140787.25
2021-07-06 11:59:00-04:00,1303.25,1304.25,1301.5,1303.5,412,117,536786.5
2021-07-06 12:00:00-04:00,1303.5,1303.75,1302.5,1302.75,130,64,169390.5
2021-07-06 12:01:00-04:00,1302.75,1303.75,1302.5,1303.75,137,78,178513.5
2021-07-06 12:02:00-04:00,1303.75,1303.75,1301.75,1302.0,100,56,130269.75
2021-07-06 12:03:00-04:00,1302.0,1302.25,1301.5,1301.5,106,51,138019.25
2021-07-06 12:04:00-04:00,1301.5,1301.5,1300.75,1301.0,509,207,662235.5
2021-07-06 12:05:00-04:00,1301.0,1301.75,1300.5,1301.5,220,61,286239.0
2021-07-06 12:06:00-04:00,1301.5,1302.25,1300.75,1301.75,133,80,173080.5
2021-07-06 12:07:00-04:00,1301.75,1303.0,1301.75,1302.5,278,94,362113.25
2021-07-06 12:08:00-04:00,1302.5,1303.0,1302.0,1302.75,98,47,127634.5
2021-07-06 12:09:00-04:00,1302.5,1303.0,1302.25,1302.75,106,36,138088.25
2021-07-06 12:10:00-04:00,1303.0,1303.25,1302.5,1303.25,109,36,142018.75
2021-07-06 12:11:00-04:00,1303.25,1304.5,1303.25,1304.25,117,60,152574.25
2021-07-06 12:12:00-04:00,1304.25,1306.5,1304.25,1305.5,254,112,331567.25
2021-07-06 12:13:00-04:00,1305.5,1307.5,1305.0,1306.75,241,99,314755.5
2021-07-06 12:14:00-04:00,1306.5,1306.75,1305.0,1305.0,615,144,803246.0
2021-07-06 12:15:00-04:00,1305.0,1305.0,1303.25,1304.0,247,78,322153.25
2021-07-06 12:16:00-04:00,1303.75,1304.0,1303.5,1303.5,101,53,131677.25
2021-07-06 12:17:00-04:00,1303.5,1304.0,1302.5,1303.5,253,103,329669.0
2021-07-06 12:18:00-04:00,1303.75,1303.75,1302.5,1302.75,60,32,78197.75
2021-07-06 12:19:00-04:00,1303.5,1303.75,1301.5,1302.5,413,116,537857.75
2021-07-06 12:20:00-04:00,1302.5,1304.75,1302.25,1304.25,116,61,151167.75
2021-07-06 12:21:00-04:00,1304.25,1305.25,1303.5,1303.75,119,52,155216.0
2021-07-06 12:22:00-04:00,1303.5,1304.5,1303.0,1303.25,292,104,380748.0
2021-07-06 12:23:00-04:00,1303.25,1304.0,1303.0,1303.25,89,38,116015.25
2021-07-06 12:24:00-04:00,1303.0,1304.75,1303.0,1304.25,63,29,82143.25
2021-07-06 12:25:00-04:00,1304.0,1304.25,1303.25,1303.5,86,47,112130.0
2021-07-06 12:26:00-04:00,1303.25,1303.75,1303.25,1303.5,57,27,74301.25
2021-07-06 12:27:00-04:00,1303.75,1304.0,1303.25,1303.75,107,33,139478.75
2021-07-06 12:28:00-04:00,1303.75,1304.25,1303.5,1304.0,66,21,86062.5
2021-07-06 12:29:00-04:00,1304.0,1304.25,1303.75,1304.25,23,16,29992.0
2021-07-06 12:30:00-04:00,1304.25,1304.5,1303.5,1303.75,65,28,84756.75
2021-07-06 12:31:00-04:00,1304.0,1307.5,1304.0,1307.25,258,82,336914.25
2021-07-06 12:32:00-04:00,1307.0,1308.0,1306.0,1306.0,258,164,337299.0
2021-07-06 12:33:00-04:00,1306.0,1307.25,1305.75,1307.0,66,32,86212.0
2021-07-06 12:34:00-04:00,1307.25,1307.5,1306.5,1306.75,40,25,52287.0
2021-07-06 12:35:00-04:00,1307.0,1307.0,1305.75,1306.0,59,30,77062.25
2021-07-06 12:36:00-04:00,1306.25,1306.75,1306.0,1306.75,48,26,62705.5
2021-07-06 12:37:00-04:00,1306.75,1306.75,1304.5,1304.5,161,36,210175.25
2021-07-06 12:38:00-04:00,1304.5,1306.5,1304.5,1306.0,75,33,97903.75
2021-07-06 12:39:00-04:00,1306.0,1306.25,1305.5,1305.5,21,14,27427.25
2021-07-06 12:40:00-04:00,1305.5,1305.5,1305.0,1305.25,17,5,22190.25
2021-07-06 12:41:00-04:00,1305.25,1305.75,1305.25,1305.5,69,28,90084.75
2021-07-06 12:42:00-04:00,1305.75,1306.25,1305.75,1305.75,36,20,47014.25
2021-07-06 12:43:00-04:00,1306.0,1306.0,1304.75,1304.75,45,21,58747.75
2021-07-06 12:44:00-04:00,1304.25,1305.25,1304.0,1305.25,68,29,88714.0
2021-07-06 12:45:00-04:00,1305.25,1305.25,1302.75,1303.0,252,80,328560.75
2021-07-06 12:46:00-04:00,1303.25,1303.25,1303.0,1303.0,64,28,83401.5
2021-07-06 12:47:00-04:00,1303.25,1303.25,1302.75,1303.25,71,18,92527.0
2021-07-06 12:48:00-04:00,1303.25,1304.0,1303.25,1303.5,125,33,162964.75
2021-07-06 12:49:00-04:00,1303.5,1303.5,1303.25,1303.25,118,23,153799.5
2021-07-06 12:50:00-04:00,1303.0,1303.5,1303.0,1303.5,79,20,102952.75
2021-07-06 12:51:00-04:00,1303.75,1304.5,1303.0,1303.0,145,55,189028.25
2021-07-06 12:52:00-04:00,1303.0,1303.75,1302.75,1303.5,122,41,159024.25
2021-07-06 12:53:00-04:00,1303.5,1304.5,1303.5,1304.5,80,30,104319.75
2021-07-06 12:54:00-04:00,1304.5,1304.75,1304.25,1304.75,58,28,75650.5
2021-07-06 12:55:00-04:00,1304.5,1304.5,1304.25,1304.25,23,13,30002.5
2021-07-06 12:56:00-04:00,1304.25,1304.25,1302.75,1303.0,277,52,361010.75
2021-07-06 12:57:00-04:00,1303.0,1303.25,1302.75,1303.25,51,25,66459.0
2021-07-06 12:58:00-04:00,1303.0,1303.5,1303.0,1303.25,26,15,33886.0
2021-07-06 12:59:00-04:00,1303.0,1303.25,1302.75,1302.75,27,20,35181.75
2021-07-06 13:00:00-04:00,1303.0,1303.25,1302.75,1303.0,47,25,61244.5
2021-07-06 13:01:00-04:00,1303.0,1304.0,1303.0,1304.0,151,48,196870.0
2021-07-06 13:02:00-04:00,1304.0,1305.0,1304.0,1304.75,317,97,413511.75
2021-07-06 13:03:00-04:00,1304.75,1304.75,1304.25,1304.5,82,21,106976.5
2021-07-06 13:04:00-04:00,1304.25,1304.5,1304.0,1304.25,33,15,43040.75
2021-07-06 13:05:00-04:00,1304.25,1304.25,1303.5,1303.5,152,36,198166.5
2021-07-06 13:06:00-04:00,1303.5,1304.0,1303.5,1303.5,54,29,70404.5
2021-07-06 13:07:00-04:00,1303.5,1303.75,1302.75,1302.75,93,36,121181.75
2021-07-06 13:08:00-04:00,1302.75,1303.0,1302.25,1302.75,69,25,89882.5
2021-07-06 13:09:00-04:00,1302.75,1302.75,1301.75,1302.0,264,80,343713.25
2021-07-06 13:10:00-04:00,1302.0,1304.25,1302.0,1303.5,216,64,281505.0
2021-07-06 13:11:00-04:00,1303.75,1303.75,1302.75,1303.5,57,25,74279.5
2021-07-06 13:12:00-04:00,1303.5,1303.5,1303.0,1303.0,20,10,26064.75
2021-07-06 13:13:00-04:00,1303.0,1303.0,1302.25,1302.5,45,20,58623.0
2021-07-06 13:14:00-04:00,1302.5,1302.75,1301.25,1301.75,117,45,152274.75
2021-07-06 13:15:00-04:00,1301.75,1301.75,1301.0,1301.0,224,52,291454.0
2021-07-06 13:16:00-04:00,1301.0,1301.5,1301.0,1301.0,61,28,79369.0
2021-07-06 13:17:00-04:00,1301.25,1303.0,1301.25,1302.0,122,37,158850.5
2021-07-06 13:18:00-04:00,1302.0,1302.0,1301.25,1301.25,40,24,52064.5
2021-07-06 13:19:00-04:00,1301.5,1301.75,1301.25,1301.25,45,32,58567.75
