,date,PX_BID,PX_MID,PX_ASK,PX_DIRTY_BID,PX_DIRTY_MID,PX_DIRTY_ASK,PX_LAST,YLD_YTM_BID,YLD_YTM_MID,YLD_YTM_ASK
661,2019-03-04,97.642,97.73,97.817,98.459,98.547,98.634,97.73,3.876,3.833,3.791
662,2019-03-05,97.645,97.732,97.82,98.47,98.557,98.645,97.732,3.876,3.833,3.791
663,2019-03-06,97.709,97.794,97.879,98.542,98.627,98.712,97.794,3.846,3.805,3.763
664,2019-03-07,97.777,97.862,97.946,98.633,98.718,98.802,97.862,3.817,3.775,3.735
665,2019-03-08,97.864,97.953,98.042,98.727,98.816,98.905,97.953,3.776,3.732,3.689
666,2019-03-11,97.894,97.983,98.071,98.765,98.854,98.942,97.983,3.762,3.719,3.676
667,2019-03-12,97.94,98.029,98.117,98.818,98.907,98.995,98.029,3.741,3.698,3.6550000000000002
668,2019-03-13,98.033,98.112,98.191,98.919,98.998,99.077,98.112,3.697,3.658,3.62
669,2019-03-14,97.991,98.077,98.163,98.9,98.986,99.072,98.077,3.721,3.6790000000000003,3.637
670,2019-03-15,98.003,98.09,98.176,98.92,99.007,99.093,98.09,3.716,3.674,3.632
671,2019-03-18,98.077,98.167,98.258,99.001,99.091,99.182,98.167,3.681,3.637,3.593
672,2019-03-19,98.047,98.138,98.229,98.979,99.07,99.161,98.138,3.697,3.653,3.608
673,2019-03-20,98.043,98.133,98.223,98.983,99.073,99.163,98.133,3.7,3.656,3.612
674,2019-03-21,98.206,98.297,98.387,99.169,99.26,99.35,98.297,3.624,3.5789999999999997,3.534
675,2019-03-22,98.214,98.306,98.398,99.184,99.276,99.368,98.306,3.621,3.575,3.5300000000000002
676,2019-03-25,98.323,98.413,98.503,99.301,99.391,99.481,98.413,3.568,3.524,3.479
677,2019-03-26,98.398,98.488,98.578,99.383,99.473,99.563,98.488,3.532,3.488,3.443
678,2019-03-27,98.542,98.636,98.729,99.535,99.629,99.722,98.636,3.462,3.416,3.37
679,2019-03-28,98.545,98.633,98.72,99.553,99.641,99.728,98.633,3.462,3.419,3.376
680,2019-03-29,98.453,98.54,98.627,99.469,99.556,99.643,98.54,3.509,3.466,3.423
681,2019-04-01,98.406,98.492,98.577,99.43,99.516,99.601,98.492,3.533,3.49,3.448
682,2019-04-02,98.399,98.486,98.572,99.43,99.517,99.603,98.486,3.5380000000000003,3.4939999999999998,3.452
683,2019-04-03,98.354,98.44,98.525,99.393,99.479,99.564,98.44,3.561,3.518,3.476
684,2019-04-04,98.446,98.533,98.619,99.508,99.595,99.681,98.533,3.518,3.475,3.432
685,2019-04-05,98.385,98.473,98.561,99.454,99.542,99.63,98.473,3.55,3.5060000000000002,3.462
686,2019-04-08,98.418,98.505,98.592,99.495,99.582,99.669,98.505,3.534,3.491,3.447
687,2019-04-09,98.398,98.485,98.572,99.483,99.57,99.657,98.485,3.545,3.502,3.458
688,2019-04-10,98.433,98.52,98.607,99.525,99.612,99.699,98.52,3.529,3.485,3.441
689,2019-04-11,98.442,98.529,98.615,99.557,99.644,99.73,98.529,3.527,3.483,3.44
690,2019-04-12,98.354,98.441,98.527,99.477,99.564,99.65,98.441,3.573,3.529,3.485
691,2019-04-15,98.327,98.414,98.501,99.458,99.545,99.632,98.414,3.588,3.544,3.5
692,2019-04-16,98.373,98.456,98.539,99.511,99.594,99.677,98.456,3.565,3.523,3.481
693,2019-04-17,98.347,98.429,98.51,99.516,99.598,99.679,98.429,3.583,3.541,3.5
694,2019-04-18,98.423,98.504,98.585,99.599,99.68,99.761,98.504,3.545,3.504,3.463
695,2019-04-22,98.415,98.499,98.582,99.599,99.683,99.766,98.499,3.55,3.508,3.465
696,2019-04-23,98.414,98.495,98.576,99.606,99.687,99.768,98.495,3.552,3.511,3.469
697,2019-04-24,98.508,98.59,98.671,99.707,99.789,99.87,98.59,3.505,3.463,3.422
698,2019-04-25,98.553,98.637,98.72,99.775,99.859,99.942,98.637,3.485,3.442,3.399
699,2019-04-26,98.558,98.642,98.726,99.788,99.872,99.956,98.642,3.483,3.44,3.3970000000000002
700,2019-04-29,98.623,98.71,98.796,99.861,99.947,100.034,98.71,3.451,3.406,3.362
701,2019-04-30,98.623,98.706,98.788,99.868,99.951,100.033,98.706,3.452,3.409,3.367
702,2019-05-01,98.676,98.757,98.838,99.929,100.01,100.091,98.757,3.426,3.384,3.342
703,2019-05-02,98.548,98.631,98.713,99.824,99.907,99.989,98.631,3.495,3.452,3.409
704,2019-05-03,98.523,98.606,98.688,99.806,99.889,99.971,98.606,3.509,3.466,3.423
705,2019-05-06,98.644,98.728,98.812,99.935,100.019,100.103,98.728,3.447,3.403,3.36
706,2019-05-07,98.65,98.731,98.812,99.949,100.03,100.111,98.731,3.445,3.403,3.3609999999999998
707,2019-05-08,98.707,98.79,98.872,100.013,100.096,100.178,98.79,3.416,3.373,3.33
708,2019-05-09,98.694,98.775,98.856,100.023,100.104,100.185,98.775,3.426,3.383,3.341
709,2019-05-10,98.717,98.798,98.878,100.054,100.135,100.215,98.798,3.414,3.372,3.33
710,2019-05-13,98.796,98.877,98.958,100.14,100.221,100.302,98.877,3.374,3.332,3.29
711,2019-05-14,98.85,98.931,99.011,100.202,100.283,100.363,98.931,3.347,3.304,3.263
712,2019-05-15,98.903,98.985,99.066,100.263,100.345,100.426,98.985,3.32,3.277,3.235
713,2019-05-16,98.876,98.957,99.038,98.884,98.965,99.046,98.957,3.336,3.294,3.251
714,2019-05-17,98.906,98.987,99.068,98.921,99.002,99.083,98.987,3.321,3.279,3.2359999999999998
715,2019-05-20,98.848,98.929,99.009,98.871,98.952,99.032,98.929,3.3529999999999998,3.31,3.268
716,2019-05-21,98.781,98.862,98.943,98.812,98.893,98.974,98.862,3.3890000000000002,3.346,3.303
717,2019-05-22,98.769,98.849,98.929,98.807,98.887,98.967,98.849,3.396,3.354,3.311
718,2019-05-23,98.861,98.942,99.023,98.93,99.011,99.092,98.942,3.351,3.308,3.265
719,2019-05-24,98.917,98.998,99.078,98.993,99.074,99.154,98.998,3.322,3.279,3.2359999999999998
720,2019-05-28,98.958,99.039,99.12,99.042,99.123,99.204,99.039,3.3,3.257,3.214
721,2019-05-29,99.05,99.131,99.213,99.134,99.215,99.297,99.131,3.252,3.209,3.165
722,2019-05-30,99.035,99.116,99.197,99.142,99.223,99.304,99.116,3.262,3.218,3.175
723,2019-05-31,99.226,99.309,99.391,99.341,99.424,99.506,99.309,3.16,3.116,3.072
724,2019-06-03,99.467,99.548,99.63,99.589,99.67,99.752,99.548,3.032,2.989,2.9459999999999997
725,2019-06-04,99.466,99.549,99.632,99.596,99.679,99.762,99.549,3.033,2.989,2.945
726,2019-06-05,99.5,99.581,99.661,99.638,99.719,99.799,99.581,3.015,2.972,2.93
727,2019-06-06,99.549,99.631,99.712,99.709,99.791,99.872,99.631,2.99,2.9459999999999997,2.903
728,2019-06-07,99.445,99.524,99.604,99.613,99.692,99.772,99.524,3.046,3.004,2.961
729,2019-06-10,99.444,99.517,99.59,99.62,99.693,99.766,99.517,3.047,3.008,2.969
730,2019-06-11,99.388,99.461,99.533,99.571,99.644,99.716,99.461,3.078,3.039,3.0
731,2019-06-12,99.446,99.518,99.59,99.637,99.709,99.781,99.518,3.047,3.008,2.969
732,2019-06-13,99.501,99.574,99.646,99.715,99.788,99.86,99.574,3.018,2.979,2.94
733,2019-06-14,99.62,99.693,99.765,99.842,99.915,99.987,99.693,2.9539999999999997,2.915,2.876
734,2019-06-17,99.487,99.56,99.632,99.716,99.789,99.861,99.56,3.027,2.987,2.948
735,2019-06-18,99.565,99.637,99.71,99.802,99.874,99.947,99.637,2.985,2.9459999999999997,2.906
736,2019-06-19,99.439,99.512,99.585,99.683,99.756,99.829,99.512,3.054,3.014,2.974
737,2019-06-20,99.763,99.837,99.911,100.03,100.104,100.178,99.837,2.878,2.838,2.798
738,2019-06-21,99.648,99.721,99.793,99.923,99.996,100.068,99.721,2.941,2.901,2.862
739,2019-06-24,99.708,99.783,99.857,99.991,100.066,100.14,99.783,2.908,2.867,2.827
740,2019-06-25,99.732,99.804,99.877,100.022,100.094,100.167,99.804,2.896,2.856,2.816
741,2019-06-26,99.651,99.724,99.796,99.949,100.022,100.094,99.724,2.94,2.9,2.8609999999999998
742,2019-06-27,99.617,99.693,99.769,99.938,100.014,100.09,99.693,2.96,2.918,2.876
743,2019-06-28,99.666,99.742,99.818,99.994,100.07,100.146,99.742,2.933,2.891,2.849
744,2019-07-01,99.633,99.71,99.787,99.969,100.046,100.123,99.71,2.951,2.909,2.866
745,2019-07-02,99.621,99.697,99.773,99.972,100.048,100.124,99.697,2.959,2.916,2.874
746,2019-07-03,99.662,99.737,99.812,100.036,100.111,100.186,99.737,2.9370000000000003,2.895,2.8529999999999998
747,2019-07-05,99.622,99.697,99.773,100.004,100.079,100.155,99.697,2.959,2.917,2.875
748,2019-07-08,99.454,99.53,99.605,99.844,99.92,99.995,99.53,3.053,3.011,2.969
749,2019-07-09,99.393,99.469,99.545,99.79,99.866,99.942,99.469,3.088,3.045,3.003
750,2019-07-10,99.367,99.443,99.519,99.772,99.848,99.924,99.443,3.103,3.06,3.018
751,2019-07-11,99.573,99.648,99.723,100.001,100.076,100.151,99.648,2.988,2.9459999999999997,2.904
752,2019-07-12,99.482,99.557,99.632,99.917,99.992,100.067,99.557,3.04,2.998,2.956
753,2019-07-15,99.523,99.599,99.674,99.966,100.042,100.117,99.599,3.017,2.974,2.932
754,2019-07-16,99.513,99.59,99.667,99.964,100.041,100.118,99.59,3.023,2.98,2.936
755,2019-07-17,99.505,99.58,99.655,99.963,100.038,100.113,99.58,3.028,2.9859999999999998,2.943
756,2019-07-18,99.554,99.629,99.704,100.035,100.11,100.185,99.629,3.002,2.959,2.916
757,2019-07-19,99.619,99.694,99.768,100.108,100.183,100.257,99.694,2.965,2.922,2.88
758,2019-07-22,99.558,99.633,99.707,100.055,100.13,100.204,99.633,3.0,2.957,2.915
759,2019-07-23,99.541,99.616,99.69,100.045,100.12,100.194,99.616,3.01,2.967,2.925
760,2019-07-24,99.553,99.63,99.707,100.065,100.142,100.219,99.63,3.004,2.96,2.916
761,2019-07-25,99.575,99.651,99.727,100.11,100.186,100.262,99.651,2.992,2.949,2.9050000000000002
762,2019-07-26,99.469,99.545,99.62,100.011,100.087,100.162,99.545,3.054,3.01,2.967
763,2019-07-29,99.505,99.58,99.654,100.047,100.122,100.196,99.58,3.033,2.99,2.947
764,2019-07-30,99.509,99.584,99.658,100.059,100.134,100.208,99.584,3.031,2.988,2.945
765,2019-07-31,99.527,99.602,99.676,100.085,100.16,100.234,99.602,3.021,2.9779999999999998,2.935
766,2019-08-01,99.417,99.491,99.564,99.998,100.072,100.145,99.491,3.086,3.043,3.001
767,2019-08-02,99.742,99.816,99.89,100.33,100.404,100.478,99.816,2.898,2.855,2.8120000000000003
768,2019-08-05,99.895,99.973,100.05,100.491,100.569,100.646,99.973,2.809,2.7640000000000002,2.7199999999999998
769,2019-08-06,99.945,100.018,100.092,100.548,100.621,100.695,100.018,2.781,2.738,2.695
770,2019-08-07,99.984,100.059,100.133,100.595,100.67,100.744,100.059,2.758,2.714,2.672
771,2019-08-08,99.933,100.005,100.077,100.567,100.639,100.711,100.005,2.7880000000000003,2.746,2.7039999999999997
772,2019-08-09,99.903,99.974,100.044,100.545,100.616,100.686,99.974,2.805,2.7640000000000002,2.723
773,2019-08-12,99.945,100.016,100.086,100.594,100.665,100.735,100.016,2.781,2.739,2.698
774,2019-08-13,99.937,100.007,100.077,100.594,100.664,100.734,100.007,2.786,2.745,2.7039999999999997
775,2019-08-14,99.889,99.959,100.028,100.554,100.624,100.693,99.959,2.814,2.773,2.732
776,2019-08-15,100.032,100.102,100.172,100.72,100.79,100.86,100.102,2.73,2.689,2.6470000000000002
777,2019-08-16,100.089,100.159,100.229,100.784,100.854,100.924,100.159,2.6959999999999997,2.6550000000000002,2.614
778,2019-08-19,100.061,100.129,100.197,100.764,100.832,100.9,100.129,2.713,2.672,2.632
779,2019-08-20,100.065,100.133,100.201,100.775,100.843,100.911,100.133,2.71,2.67,2.63
780,2019-08-21,100.041,100.108,100.175,100.759,100.826,100.893,100.108,2.724,2.685,2.645
781,2019-08-22,99.984,100.052,100.119,100.725,100.793,100.86,100.052,2.758,2.718,2.678
782,2019-08-23,99.877,99.944,100.011,100.626,100.693,100.76,99.944,2.822,2.782,2.742
783,2019-08-26,100.077,100.145,100.212,100.833,100.901,100.968,100.145,2.703,2.662,2.622
784,2019-08-27,100.057,100.125,100.192,100.821,100.889,100.956,100.125,2.715,2.674,2.634
785,2019-08-28,100.068,100.137,100.207,100.84,100.909,100.979,100.137,2.708,2.667,2.625
786,2019-08-29,100.018,100.087,100.155,100.812,100.881,100.949,100.087,2.738,2.6959999999999997,2.6550000000000002
787,2019-08-30,100.0,100.066,100.133,100.802,100.868,100.935,100.066,2.749,2.709,2.669
788,2019-09-03,100.064,100.131,100.199,100.874,100.941,101.009,100.131,2.71,2.67,2.629
789,2019-09-04,100.114,100.181,100.248,100.931,100.998,101.065,100.181,2.68,2.6390000000000002,2.599
790,2019-09-05,100.109,100.179,100.25,100.949,101.019,101.09,100.179,2.682,2.64,2.597
791,2019-09-06,99.957,100.026,100.094,100.805,100.874,100.942,100.026,2.775,2.733,2.691
792,2019-09-09,99.945,100.011,100.077,100.801,100.867,100.933,100.011,2.782,2.742,2.702
793,2019-09-10,99.914,99.98,100.046,100.777,100.843,100.909,99.98,2.801,2.761,2.721
794,2019-09-11,99.796,99.863,99.929,100.667,100.734,100.8,99.863,2.874,2.833,2.792
795,2019-09-12,99.786,99.85,99.914,100.68,100.744,100.808,99.85,2.88,2.841,2.802
796,2019-09-13,99.677,99.737,99.796,100.578,100.638,100.697,99.737,2.948,2.911,2.874
797,2019-09-16,99.668,99.726,99.783,100.577,100.635,100.692,99.726,2.9539999999999997,2.918,2.883
798,2019-09-17,99.69,99.747,99.804,100.607,100.664,100.721,99.747,2.941,2.9050000000000002,2.87
799,2019-09-18,99.738,99.795,99.852,100.662,100.719,100.776,99.795,2.911,2.876,2.84
800,2019-09-19,99.675,99.731,99.787,100.622,100.678,100.734,99.731,2.951,2.916,2.8810000000000002
801,2019-09-20,99.68,99.737,99.793,100.635,100.692,100.748,99.737,2.948,2.9130000000000003,2.878
802,2019-09-23,99.813,99.869,99.925,100.776,100.832,100.888,99.869,2.866,2.831,2.7960000000000003
803,2019-09-24,99.782,99.839,99.896,100.752,100.809,100.866,99.839,2.885,2.849,2.814
804,2019-09-25,99.873,99.932,99.99,100.851,100.91,100.968,99.932,2.828,2.791,2.755
805,2019-09-26,99.751,99.81,99.868,100.752,100.811,100.869,99.81,2.906,2.868,2.832
806,2019-09-27,99.768,99.827,99.885,100.776,100.835,100.893,99.827,2.895,2.858,2.8209999999999997
807,2019-09-30,99.817,99.875,99.932,100.833,100.891,100.948,99.875,2.864,2.828,2.792
808,2019-10-01,99.797,99.854,99.911,100.821,100.878,100.935,99.854,2.877,2.841,2.805
809,2019-10-02,100.023,100.08,100.137,101.054,101.111,101.168,100.08,2.734,2.698,2.662
810,2019-10-03,100.099,100.155,100.211,101.153,101.209,101.265,100.155,2.686,2.65,2.615
811,2019-10-04,100.214,100.271,100.327,101.276,101.333,101.389,100.271,2.613,2.577,2.541
812,2019-10-07,100.195,100.251,100.307,101.264,101.32,101.376,100.251,2.625,2.589,2.553
813,2019-10-08,100.151,100.208,100.264,101.228,101.285,101.341,100.208,2.652,2.616,2.58
814,2019-10-09,100.14,100.196,100.251,101.225,101.281,101.336,100.196,2.659,2.624,2.588
815,2019-10-10,100.098,100.154,100.209,101.213,101.269,101.324,100.154,2.686,2.65,2.614
816,2019-10-11,99.929,99.986,100.042,101.052,101.109,101.165,99.986,2.795,2.758,2.722
817,2019-10-15,99.93,99.988,100.045,101.061,101.119,101.176,99.988,2.794,2.757,2.7199999999999998
818,2019-10-16,99.851,99.908,99.965,100.989,101.046,101.103,99.908,2.846,2.809,2.7720000000000002
819,2019-10-17,99.856,99.911,99.967,101.017,101.072,101.128,99.911,2.843,2.807,2.771
820,2019-10-18,99.866,99.923,99.98,101.035,101.092,101.149,99.923,2.8369999999999997,2.8,2.762
821,2019-10-21,99.908,99.965,100.023,101.084,101.141,101.199,99.965,2.809,2.7720000000000002,2.734
822,2019-10-22,99.894,99.953,100.011,101.078,101.137,101.195,99.953,2.819,2.7800000000000002,2.742
823,2019-10-23,99.927,99.987,100.046,101.119,101.179,101.238,99.987,2.797,2.758,2.719
824,2019-10-24,99.893,99.952,100.011,101.108,101.167,101.226,99.952,2.82,2.781,2.742
825,2019-10-25,99.883,99.943,100.002,101.105,101.165,101.224,99.943,2.827,2.787,2.748
826,2019-10-28,99.789,99.846,99.904,101.019,101.076,101.134,99.846,2.8890000000000002,2.851,2.8129999999999997
827,2019-10-29,99.821,99.879,99.937,101.051,101.109,101.167,99.879,2.868,2.83,2.791
