,px_adjustment_factor,vol_adjustment_factor
2020-12-28,0.9633749999999999,1.0
2020-12-29,0.9633540372670807,1.0
2020-12-30,0.9633743842364532,1.0
2020-12-31,0.963361963190184,1.0
2021-01-04,0.96336217552534,1.0
2021-01-05,0.963362391033624,1.0
2021-01-06,0.9633734939759035,1.0
2021-01-07,0.9633640552995393,1.0
2021-01-08,0.9633640552995393,1.0
2021-01-11,0.9633720930232558,1.0
2021-01-12,0.9633757225433526,1.0
2021-01-13,0.9633684210526315,1.0
2021-01-14,0.9633720930232558,1.0
2021-01-15,0.9633760186263096,1.0
2021-01-18,0.9633769322235434,1.0
2021-01-19,0.9633561643835618,1.0
2021-01-20,0.9633757225433526,1.0
2021-01-21,0.9633596392333709,1.0
2021-01-22,0.9633564814814813,1.0
2021-01-25,0.9633644859813084,1.0
2021-01-26,0.9633649289099526,1.0
2021-01-27,0.9633684210526315,1.0
2021-01-28,0.9633694344163659,1.0
2021-01-29,0.9633699633699634,1.0
2021-02-01,0.963361963190184,1.0
2021-02-02,0.9633699633699634,1.0
2021-02-03,0.9633615477629988,1.0
2021-02-04,0.9633658536585366,1.0
2021-02-05,0.9633573141486809,1.0
2021-02-08,0.9633615477629988,1.0
2021-02-09,0.9633573141486809,1.0
2021-02-10,0.9633568075117371,1.0
2021-02-11,0.9633647058823529,1.0
2021-02-16,0.9633661202185791,1.0
2021-02-17,0.9633659066232356,1.0
2021-02-18,0.9633620689655173,1.0
2021-02-19,0.9633589462129528,1.0
2021-02-22,0.9633763440860215,1.0
2021-02-23,0.9633618843683083,1.0
2021-02-24,0.9633622559652928,1.0
2021-02-25,0.963357817418678,1.0
2021-02-26,0.9633615221987316,1.0
2021-03-01,0.9633622559652928,1.0
2021-03-02,0.9633740288568258,1.0
2021-03-03,0.9633729729729729,1.0
2021-03-04,0.9633727175080559,1.0
2021-03-05,0.9633622559652928,1.0
2021-03-08,0.9633717277486911,1.0
2021-03-09,0.9633641025641025,1.0
2021-03-10,0.9633717277486911,1.0
2021-03-11,0.9874413646055438,1.0
2021-03-12,0.9874316939890709,1.0
2021-03-15,0.9874408602150537,1.0
2021-03-16,0.9874454148471616,1.0
2021-03-17,0.9874316939890709,1.0
2021-03-18,0.9874358974358975,1.0
2021-03-19,0.9874358974358975,1.0
2021-03-22,0.9874347826086955,1.0
2021-03-23,0.987431091510474,1.0
2021-03-24,0.9874408117249154,1.0
2021-03-25,0.987441340782123,1.0
2021-03-26,0.9874470457079152,1.0
2021-03-29,0.987450110864745,1.0
2021-03-30,0.9874367436743673,1.0
2021-03-31,0.9874505494505494,1.0
2021-04-01,0.987431091510474,1.0
2021-04-07,0.9874291938997821,1.0
2021-04-08,0.9874493062966916,1.0
2021-04-09,0.9874328678839959,1.0
2021-04-12,0.9874454148471616,1.0
2021-04-13,0.9874347826086955,1.0
2021-04-14,0.9874322860238354,1.0
2021-04-15,0.9874479737130339,1.0
2021-04-16,0.987433628318584,1.0
2021-04-19,0.9874347826086955,1.0
2021-04-20,0.9874403470715835,1.0
2021-04-21,0.987433628318584,1.0
2021-04-22,0.9874470457079152,1.0
2021-04-23,0.9874330357142859,1.0
2021-04-26,0.987450110864745,1.0
2021-04-27,0.9874347826086955,1.0
2021-04-28,0.9874394099051632,1.0
2021-04-29,0.9874327122153209,1.0
2021-04-30,0.9874309109518935,1.0
2021-05-03,0.9874418604651164,1.0
2021-05-04,0.987435098650052,1.0
2021-05-05,0.9874380165289257,1.0
2021-05-06,0.9874465920651069,1.0
2021-05-07,0.9874338085539714,1.0
2021-05-10,0.9874465920651069,1.0
2021-05-11,0.987445708376422,1.0
2021-05-12,0.9874452554744525,1.0
2021-05-13,0.98744769874477,1.0
2021-05-14,0.9874461538461539,1.0
2021-05-17,0.9874356333676623,1.0
2021-05-18,0.9874390243902439,1.0
2021-05-20,0.9874303405572755,1.0
2021-05-21,0.9874356333676623,1.0
2021-05-24,0.9874437627811862,1.0
2021-05-25,0.9874390243902439,1.0
2021-05-26,0.9874338085539714,1.0
2021-05-27,0.9874361593462717,1.0
2021-05-28,0.9874409448818898,1.0
2021-05-31,0.9874442190669371,1.0
2021-06-01,0.9874371859296482,1.0
2021-06-02,0.9874465920651069,1.0
2021-06-03,0.9874385245901639,1.0
2021-06-04,0.9874356333676623,1.0
2021-06-07,0.9874332648870636,1.0
2021-06-08,0.9874437627811862,1.0
2021-06-09,0.9874380165289257,1.0
2021-06-10,0.9874501573976915,1.0
2021-06-11,0.987436974789916,1.0
2021-06-15,0.9874340021119324,1.0
2021-06-16,0.9874428274428274,1.0
2021-06-17,0.9874327122153209,1.0
2021-06-18,0.987436440677966,1.0
2021-06-21,0.9874423710208563,1.0
2021-06-22,0.9874316939890709,1.0
2021-06-23,0.9874484256243214,1.0
2021-06-24,0.9874291938997821,1.0
2021-06-25,0.9874403470715835,1.0
2021-06-28,0.9874291938997821,1.0
2021-06-29,0.9874475138121548,1.0
2021-06-30,0.9874470457079152,1.0
2021-07-02,0.9874470457079152,1.0
2021-07-05,0.9874418604651163,1.0
2021-07-06,0.9874475138121548,1.0
2021-07-07,0.9874439461883407,1.0
2021-07-08,0.9874402730375427,1.0
2021-07-09,0.9874397244546499,1.0
2021-07-12,0.9874487471526195,1.0
2021-07-13,0.987436182019978,1.0
2021-07-14,0.9874408117249154,1.0
2021-07-15,0.9874292185730464,1.0
2021-07-16,0.9874514285714285,1.0
2021-07-19,0.9874385964912281,1.0
2021-07-20,0.9874435196195006,1.0
2021-07-21,0.9874380165289255,1.0
2021-07-22,0.9874364896073904,1.0
2021-07-23,0.9874505238649592,1.0
2021-07-26,0.9874380165289255,1.0
2021-07-27,0.9874477958236658,1.0
2021-07-28,0.9874385964912281,1.0
2021-07-29,0.9874358974358974,1.0
2021-07-30,0.9874332171893149,1.0
2021-08-02,0.987433831990794,1.0
2021-08-03,0.9874358974358974,1.0
2021-08-04,0.9874391657010428,1.0
2021-08-05,0.9874364896073904,1.0
2021-08-06,0.9874305555555554,1.0
2021-08-09,0.9874429223744293,1.0
2021-08-10,0.9874429223744293,1.0
